1,1320,820,296,50,90
2,1320,819,291,55,80
2,1485,967,480,46,136
2,1486,714,734,51,152
2,1487,980,307,51,95
2,1488,165,510,48,141
2,1489,1732,445,57,134
2,1490,922,470,34,103
2,1491,0,514,54,152
2,1492,1751,815,83,205
2,1493,285,328,22,40
3,1320,819,292,52,73
3,1485,968,478,46,136
3,1486,712,734,53,176
3,1487,979,305,52,98
3,1488,165,509,53,142
3,1489,1733,445,56,134
3,1490,922,473,35,100
3,1491,0,513,53,154
3,1492,1754,815,84,205
3,1493,286,329,21,39
4,1320,819,292,47,72
4,1485,968,476,46,138
4,1486,709,733,55,183
4,1487,978,305,47,98
4,1488,165,508,57,143
4,1489,1736,445,53,134
4,1490,922,468,36,104
4,1491,0,512,50,154
4,1492,1757,815,84,206
4,1493,282,329,26,39
5,1320,819,290,40,74
5,1485,968,475,47,137
5,1486,707,733,57,182
5,1487,976,303,42,100
5,1488,164,507,62,143
5,1489,1737,445,52,135
5,1490,922,465,37,107
5,1491,0,511,48,155
5,1492,1761,815,83,206
5,1493,286,321,25,47
5,1495,339,327,29,35
6,1320,819,293,34,69
6,1485,970,475,48,132
6,1486,704,733,60,178
6,1487,974,302,38,100
6,1488,163,508,66,142
6,1489,1739,444,52,135
6,1490,923,463,35,110
6,1491,0,510,46,156
6,1492,1765,815,81,207
6,1493,285,314,24,48
6,1495,337,327,27,36
7,1320,818,295,29,67
7,1485,970,476,51,128
7,1486,701,733,63,183
7,1487,973,301,34,100
7,1488,162,507,70,143
7,1489,1739,444,52,135
7,1490,923,462,36,112
7,1491,0,510,45,152
7,1492,1768,815,80,209
7,1493,277,317,35,78
8,1320,818,313,24,49
8,1485,972,477,51,127
8,1486,700,733,63,179
8,1487,971,301,35,99
8,1488,164,508,72,143
8,1489,1739,443,52,136
8,1490,923,460,37,113
8,1491,0,510,43,152
8,1492,1771,815,78,209
8,1493,275,314,41,91
8,1495,330,281,32,82
9,1320,819,326,20,37
9,1485,974,475,49,129
9,1486,699,732,63,180
9,1487,968,301,38,100
9,1488,166,507,72,143
9,1489,1738,443,54,136
9,1490,923,458,38,115
9,1491,0,510,41,152
9,1492,1774,814,76,204
9,1493,274,312,45,99
9,1495,329,271,34,91
10,1320,821,326,19,36
10,1485,976,473,47,131
10,1486,699,731,63,185
10,1487,962,300,44,100
10,1488,169,506,72,145
10,1489,1738,443,55,136
10,1490,923,456,40,117
10,1491,0,510,40,151
10,1492,1776,812,76,202
10,1493,274,323,47,87
11,1320,821,299,21,63
11,1485,978,471,45,133
11,1486,698,730,63,184
11,1487,955,301,52,100
11,1488,173,505,70,146
11,1489,1737,442,56,137
11,1490,923,454,41,119
11,1491,0,510,40,153
11,1492,1779,809,75,201
11,1493,276,321,48,87
12,1320,821,296,22,66
12,1485,980,468,44,137
12,1486,698,728,63,183
12,1487,949,301,59,100
12,1488,178,504,66,144
12,1489,1737,442,58,137
12,1490,924,453,41,121
12,1491,0,510,40,154
12,1492,1781,807,75,201
12,1493,279,313,46,94
13,1320,823,296,22,66
13,1485,982,466,45,138
13,1486,698,727,63,182
13,1487,947,302,62,99
13,1488,183,504,62,141
